ATT:Id;ATT:Name;ATT:ParkingArea;ATT:Description;ATT:Type;COM:Id;LOC:Id;ADD:Id
13;Sentiero di Segonzano;False;"Percorso d`interesse geologico e naturalistico, con lunghe attraversate nel bosco su antiche mulattiere; la presenza del Santuario della Madonna dell`Aiuto aggiunge importanti contenuti artistici e religiosi all`itinerario.""";attrazionenaturale;0;13;10
14;Giro dei Laghi;False;"Percorso semplice e piacevole, adatto a tutti su pista ciclopedonale.""";attrazionenaturale;0;14;10
15;Lago di Serraia;False;Posto in una vasta piana circondata da boschi, canneti e prati il lago di Serraia, lago principale del comune di Baselga di Piné  è ideale per grandi e piccini per trascorrere una giornata in mezzo alla natura, praticando sport o semplicemente rilassandosi sulle sue rive.;attrazionenaturale;0;15;10
16;Itinerario Lago di Lases - Lago di Santa Colomba;False;"L’itinerario proposto, nella sua brevità ci porta a conoscere diversi aspetti che caratterizzano questa parte di Valle di Cembra.""";attrazionenaturale;0;16;10
17;Scuola di Sci Lagorai;False;;scuolasci;2;17;12
18;Crazy Bike;False;vendita e noleggio bici;serviziobiciclette;3;18;13
19;Pista NeveGhiaccio Parco La Cascatella;False;pista neve ghiaccio;snowpark;4;19;14
20;Scuola Italiana di Sci Monte Bondone;False;;scuolasci;5;20;15
21;Trento Funivie S.P.A. - Monte Bondone;False;;funivia;6;21;16
22;Maestri di Sci Azzurra Monte Bondone;False;;scuolasci;7;21;17
23;Funivia Trento - Sardagna;False;;funivia;8;22;18
24;Noleggio Sci F.lli Degasperi S.A.S.;False;;noleggiosci;9;23;19
25;Viote;False;Il Rifugio Viote vuol essere un luogo di incontro dove condividere la passione ed il rispetto per le montagne. Nella tranquillità della natura della Piana delle Viote, adiacente il Giardino Botanico Alpino, potete gustare la cucina tipica trentina, basata sui prodotti locali. Il rifugio offre un ampio parcheggio per macchine e camper. Dispone di 15 posti letto in stanze dotate di angolo lavandino e servizi in comune.;rifugio;10;24;20
26;Sport Nicolussi;False;;noleggiosci;11;21;17
27;Maranza;False;Il rifugio è il posto ideale per trascorrere qualche ora in compagnia dei suoni e dei colori offerti dalla natura. Le camere del rifugio sono molto accoglienti e luminose, arredate in stile tipico trentino e godono di una bellissima vista sulla vallata. Ogni camera dispone della zona bagno;rifugio;12;25;21
28;Scuola Italiana Sci Fondo Viote;False;;scuolasci;13;26;22
29;Accademia dello Sci e Snowboard Nazionale;False;;scuolasci;14;27;23
30;Itinerario Monte Corno;False;"Itinerario prevalentemente su sterrato che porta alla scoperta del parco naturale del Monte Corno.""";attrazionenaturale;0;28;10
31;Itinerario Masi di Grumes - Cauria;False;"Questo itinerario, a cavallo tra Trentino e Alto Adige, con un dislivello di circa 1000 m attraversa per buona parte il parco naturale del monte Corno transitando per il piccolo abitato di Cauria.""";attrazionenaturale;0;29;10
32;Dosso di Costalta;False;"Classico percorso nei boschi rigogliosi di Piné per raggiungere una delle montagne più caratteristiche della zona.""";attrazionenaturale;0;30;10
33;Itinerario Monte Calvo;False;"Itinerario che si sviluppa attorno al Monte Calvo attraverso i bei boschi di faggio della zona della Faida, a pochi chilometri da Baselga.""";attrazionenaturale;0;30;10
34;Dosso di Segonzano - da Bedollo;False;"Percorso con partenza e arrivo a Bedollo, di difficoltà medio bassa, che congiunge l’Altopiano di Piné con la Valle di Cembra.""";attrazionenaturale;0;31;10
35;Lago Santo di Cembra;False;Il Lago Santo di Cembra è il punto di partenza ideale per escursioni sul Sentiero del Dürer e sul Sentiero E5. D’inverno invece il lago diventa pista di ghiaccio perfetta per il curling.;attrazionenaturale;0;32;10
36;Dos de la Mot;False;"Si tratta di un percorso adatto a tutti, con dislivelli modesti su stradine e mulattiere, sempre all`ombra di una rigogliosa pineta.""";attrazionenaturale;0;33;10
37;Lago di Lases;False;Il piccolo lago di Lases è un piacevole specchio d’acqua apprezzato dai pescatori per la sua pescosità e dagli amanti del relax per le sue spiaggette.;attrazionenaturale;0;34;10
38;Lago di Santa Colomba;False;Il lago di Santa Colomba si trova in Valle di Cembra, e fa parte dell’Ecomuseo dell’Argentario. Adatto a passeggiate nel verde e a soste di relax. ;attrazionenaturale;0;35;10
39;Trekking delle cave;False;"Bella e semplice passeggiata per buona parte su sentieri e strade forestali che ci porta a scoprire affascinanti luoghi nei boschi sopra l’abitato di Albiano. """;attrazionenaturale;0;36;10
40;Itinerario Monte Corona;False;"Breve percorso che si snoda a cavallo tra la bassa Valle di Cembra e la valle dell’Adige. """;attrazionenaturale;0;37;10
41;Sentiero Maderlina;False;"Percorso nei boschi di latifoglie in gran parte su strade lastricate e sterrate, con diversi punti di interesse naturalistico; molto gradevole nel suo sviluppo ad anello con modesti dislivelli.""";attrazionenaturale;0;38;10
42;Passeggiata di Bedolpian;False;"Per chi desidera trascorrere una piacevole giornata immerso nella natura, il complesso di Bedolpian è l’ideale. Raggiungibile comodamente in auto, è caratterizzato da diversi percorsi di ridotta difficoltà, adatti a tutta la famiglia.""";attrazionenaturale;0;39;10
43;Pian del Gacc;False;Pian del Gacc è un’area ricreativa immersa nel verde attrezzata con due campi da tennis, parco giochi e campi di bocce per poter praticare numerosi sport all’aria aperta. Nella zona sono anche presenti delle antiche miniere d’argento, dette canope;attrazionenaturale;0;40;10
44;Sentiero lago Santo;False;"Il sentiero collega l’abitato di Cembra al Lago Santo, e percorre un tratto in cui anticamente passava la via Claudia Augusta.""";attrazionenaturale;0;41;10
45;Itinerario Val Regnana - Valle dei Mocheni;False;"Itinerario impegnativo che risale l`alta Val Regnana per compiere un ampio giro attorno alla Valle dei Mocheni, attraversando l’abitato di Sant’Orsola e di Palù del Fersina, per poi tornare sull`Altopiano di Piné attraverso il Passo Redebus.""";attrazionenaturale;0;42;10
46;Sentiero Mancabrot e del lac de Montesel;False;"E’ un percorso ad anello che inizia e termina presso il centro civico di Valternigo, nel comune di Giovo.""";attrazionenaturale;0;43;10
47;Sentiero Val Regnana;False;"Itinerario piuttosto lungo che garantisce una giornata di sano cammino, con punti d’interesse naturalistico, lunghe attraversate nel bosco su antiche mulattiere e soste in ameni borghi disseminati lungo il percorso.""";attrazionenaturale;0;44;10
48;Ecomuseo dell'Argentario;False;Il territorio intorno al Monte Calisio, poco distante da Trento, è stato organizzato dal 2005 in Ecomuseo. Questa area mostra al pubblico diverse attrazioni di interesse storico, naturalistico ed archeologico: antiche miniere d’argento, cave di pietra, testimonianze dell’attività estrattiva del porfido.;attrazionenaturale;0;45;10
49;Itinerario Malga Vernera - Rifugio Vasoni;False;"Questo itinerario di grande fascino, in gran parte si svolge su strade forestali, con passaggi tecnici su sentiero, nella cornice dei pascoli della Malga Vernera o al Rifugio Vasoni.""";attrazionenaturale;0;46;10
50;RIFUGIO GIOVANNI TONINI;False;;rifugio;15;47;24
51;Biotopo Laghestel;False;Il Laghestel è una riserva naturalistica istituita dal Comune di Baselga di Pine' costituita da un lago quasi completamente intorbato e trasformato in palude, nel quale, però permane ancora uno specchio d'acqua residuo, di discrete dimensioni, circondato da un ampio canneto.;attrazionenaturale;0;48;10
52;RIFUGIO POTZMAURER;False;;rifugio;16;49;25
53;Itinerario Malga Stramaiolo;False;Giro di media difficoltà con partenza e arrivo a Miola di Piné, che si sviluppa sul fianco ovest e nord-ovest delle cime Dosso di Costalta, Pontara, Stramaiolo e Campidei. ;attrazionenaturale;0;50;10
54;Itinerario Roccolo del Sauch;False;"Itinerario di media difficoltà prevalentemente su sterrato che attraversa i comuni di Giovo, Faedo e Cembra.""";attrazionenaturale;0;51;10
55;Itinerario Lago Santo - Passo Potzmauer;False;"L’itinerario proposto conduce nei fitti boschi della Valle di Cembra su comode strade forestali e tratti di divertente sentiero.""";attrazionenaturale;0;52;10
56;Itinerario lago di Valda - Castion;False;ll percorso è ideale per trascorrere una giornata tra masi, boschi e prati, con possibilità di ristoro presso il rifugio Potzmauer.;attrazionenaturale;0;53;10
57;Sentiero dei Vecchi Mestieri;False;"Il Sentiero dei Vecchi Mestieri porta alla scoperta dell’antica viabilità storica che da tempi immemorabili collega le due sponde della Valle di Cembra.""";attrazionenaturale;0;28;10
58;Lago delle Piazze;False;Il lago delle Piazze, nel Comune di Bedollo, durante i caldi mesi estivi è particolarmente apprezzato da chi si dedica agli sport acquatici e ai bagni di sole sui verdi prati che lo circondano.;attrazionenaturale;0;54;10
59;Itinerario lago di Serraia - lago delle Piazze;False;"Il giro dei laghi dell`Altopiano di Piné è una passeggiata rilassante con poco dislivello, che può anche essere ridotta al semplice giro di uno dei due laghi di Serraia e delle Piazze.""";attrazionenaturale;0;55;10
60;Piramidi di Terra di Segonzano;False;Le piramidi di terra che si trovano a Segonzano sono un fenomeno geologico tra i più noti e studiati al mondo per l’imponente bellezza che lo caratterizza. ;attrazionenaturale;0;56;10
61;Dosso di Segonzano - da Segonzano;False;"Il percorso si sviluppa attorno al Dosso di Segonzano attraverso la Val Regnana, toccando l`Altopiano di Piné a Bedollo.""";attrazionenaturale;0;57;10
62;Biotopo Lona Lases e buche del ghiaccio;False;La Val Fredda, nel biotopo di Lona Lases, è caratterizzata dalla presenza di fessure e cavità, poste alla base di un’antica frana, dalle quali fuoriesce continuamente aria fredda, che consente la formazione di ghiaccio durante tutto l’anno.;attrazionenaturale;0;58;10
63;Sorgente Ferruginosa;False;Si tratta di un percorso facile, con pochi tratti in leggera salita immersi nel bosco, che partendo da Miola porta alla sorgente. ;attrazionenaturale;0;59;10
64;Sentiero Bedollo - Brusago;False;Itinerario per lo più pianeggiante, che ripercorre le antiche vie di comunicazione tra Bedollo e Brusago.;attrazionenaturale;0;60;10
65;Torbiera del Vedes;False;La torbiera del Vedes a Grumes è un raro esempio di torbiera alta da interramento, con un lago residuo al centro e delimitata da un solco. Nel biotopo, oltre alla zona umida vera e propria, ricade anche una parte dei boschi ad esso circostanti, avente funzione di area di protezione.;attrazionenaturale;0;61;10
66;Lago delle Buse;False;"Il laghetto delle Buse, situato in una piccola piana a sud-est di Brusago, nel Comune di Bedollo, è un lago molto pescoso e particolarmente adatto per gite e picnic, in quanto attrezzato con tavole e panche.""";attrazionenaturale;0;62;10
67;Biotopo Le Grave;False;Non lontano dal lago di S. Colomba si trova la piccola area protetta denominata “Le Grave”, tutelata in qualità di biotopo di interesse provinciale dal 1988. Si tratta di una zona che ospita rare specie vegetali e animali, come piccoli “bonsai” naturali.;attrazionenaturale;0;63;10
68;Giro di Ceramonte;False;"Percorso piuttosto impegnativo che si snoda attorno ai due monti che sovrastano la sponda ovest del lago di Serraia e del lago delle Piazze.""";attrazionenaturale;0;64;10
69;Roccolo del Sauch;False;Il Roccolo del Sauch, posto all’interno del Comune di Giovo  è un sistema antichissimo per la cattura degli uccelli. Si tratta di una costruzione vegetale di alberi di faggio ed abete opportunamente intrecciati e potati, così da creare una galleria praticabile con al centro uno spiazzo erboso.;attrazionenaturale;0;65;10
70;Sentiero del laghetto Vedes;False;"Itinerario di interesse naturalistico, interamente immerso nei boschi di conifere a cui si intercalano le radure dei numerosi masi. """;attrazionenaturale;0;66;10
71;Maestri Sci Nicolussi;False;Attrezzatura: sci e scarpe da discesa  (gara e per tutti i livelli), snowboard, alpinismo, sci da freeride e freestyle, snowblade, bob, slitte, ciaspole/racchette da neve, bastoncini nordic walking, mountain bike.;noleggiosci;17;67;26
72;Funivie Lagorai;False;"Le Funivie Lagorai offrono anche: 
relax e ristorazione su un panorama mozzafiato: accoglienti rifugi e ristoranti, ad un passo dalle piste, assicurano una pausa pranzo di qualità, portando in tavola i piatti tipici della Valsugana e del Lagorai
un fornitissimo punto noleggio, a disposizione degli sciatori, con sci, snowboard, racchette da neve, slitte e bob
Skilandia, il parco divertimenti per i più piccoli con giochi di neve, piste per slittini e gommoni con comodo tapis roulant di risalita in ununica area facilmente controllabile per la tranquillità dei genitori.ea, easy to be supervised by parents.";impiantosci;18;17;12
73;Noleggio Sci Panarotta 2002;False;;noleggiosci;19;68;27
74;Noleggio Sci Funivie Lagorai;False;;noleggiosci;18;17;12
75;Panarotta 2002;False;"Agli amanti dello ski e non solo, Panarotta 2000 offre: 
-relax e ristorazione con cucina trentina: allo Chalet Panarotta, direttamente sulle piste da sci, è possibile riposare sulla terrazza panoramica e assaporare un piatto tipico
-Snow Park Fravort per tutti gli appassionati di snowboard per provare nuove evoluzioni e fare spettacolari salti
-Gronlait Baby Parco, perché anche i più piccoli si possano divertire sulla neve in tutta sicurezza
-un fornitissimo noleggio sci dove trovare tutta lattrezzatura per poter sciare ben equipaggiati.";impiantosciistico;19;68;27
76;Pista da pattinaggio;False;pista di pattinaggio;snowpark;20;69;28
77;Snowpark LGR Playground;False;;snowpark;18;17;12
78;Snowpark Panarotta;False;;snowpark;19;68;27
79;Trentina Motocicli;False;biciclette, motocicli;serviziobiciclette;21;70;29
80;VUERICH SERVICE;False;"Preparazione e Riparazione Sci
Orari: 8.30-12.00 , 14.30-18.30";noleggio;22;71;30
81;NOLEGGIO SCI MAESTRI SEPPI;False;"Nolleggio Sci
Orari:8.00-9.00,16.00-19.00";Noleggio sci;23;72;31
82;SPORT LATEMAR;False;"Articoli sportivi e noleggio sci
Orari: 8.30-19.00";Noleggio sci;24;73;32
83;SPORT CERMIS FUNIVIA;False;Funivie;Noleggio biciclette Noleggio sci;25;74;33
84;NOLEGGIO PLUSSERVICE c/o EUROTEL - CAVALESE;False;Orari: 8.45-13.00 , 13.30-16.45;Noleggio sci;26;75;34
85;SPORT CERMIS DOSS DEI LARESI;False;"Nolleggio Sci
Orari:8.15-16.30";Noleggio sci;25;76;35
86;SKI SERVICE;False;"Nolleggio e Riparazione Sci
Orari:8.00-12.00, 14.00/15.00-19.00";Noleggio sci;27;77;36
87;CAMPING VALLE VERDE;False;"Il campeggio Valle Verde è situato ai piedi del Parco Naturale di Paneveggio-Pale San Martino, in una delle più belle valli fluviali del Trentino, quella del torrente Travignolo, famoso per il suo movimento tortuoso, che ha dato origine a splendide pareti prfiriche, utilizzate anche come palestre roccia.
Il campeggio, a gestione familiare, è un piccolo paradiso di tranquillità immerso nel paesaggio dolomitico. Ideale per chi ama una vacanza che sappia coniugare relax, natura, divertimento, sport e cultura. Le piazzole sono pianeggianti e con manto erboso, dotate di corrente elettrica e punti acqua. Il campeggio dispone di lussuosi servizi igienici, lavatrici, asciugatrici, pizzeria, ristorante, parco giochi con calcetto, ping-pong, green volley.

Segnalato da: ANWB, ACSI, ADAC Camping Carav aning Führer, Kosmos (KCV), DCC";campeggio;28;78;37
88;CAMPEGGIO CALVELLO;False;Situato in zona tranquilla, è immerso nel verde. Dispone di 14 piazzole per un totale di 50 posti. Attrezzature moderne e ottimi servizi con acqua calda e fredda. Bar, giochi per bambini, solarium, il campeggio è aperto da maggio a fine settembre. Partendo dal campeggio si possono intraprendere delle interessanti e panoramiche passeggiate, immersi nel verde e nel silenzio delle foreste che lo circondano.;campeggio;29;79;38
89;CAMPING BELLAMONTE;False;"Il campeggio si trova a quota 1372, su un ampio e soleggiato dosso erboso, in un bosco di pini e larici nelle vicinanze del Parco Naturale di Paneveggio. 

Offre la possibilità di riposanti passeggiate, raccolta funghi, impegnative escursioni o interessanti gite in auto nelle circostanti Dolomiti. 

Disposto su un´area di 65.000 mq, il camping dispone di 308 piazzole, tutte dotate di allacciamento elettrico, di 3 gruppi di servizi igienici, con acqua calda e docce calde gratuite, lavanderia con lavatrici ed asciugatrici a gettone, fasciatoi per bambini, camper service. 

";campeggio;30;80;39
90;CAMPING RIVIERA;False;"Situato sulla sponda sud del Lago di Caldonazzo a 10m. dal lago e dalla spiaggia, il Camping Riviera vi aspetta per una piacevole vacanza immersi nel verde in una zona tranquilla, in una posizione che offre la possibilità di numerose passeggiate ed escursioni sui monti che gli fanno da cornice. 
Il campeggio ben strutturato ed organizzato ha un locale lavanderia con lavatrice ed asciugatoio a gettoni; le docce calde gratuite sono state completamente ristrutturate come anche il locale lavapiatti e nelle immediate vicinanze un ristorante, pizzeria e rosticceria. 
Le piazzole sono completamente erbose e ben ombreggiate per un periodo di riposo lontano dal caos cittadino e dai rumori che accompagnano la vita quotidiana delle grandi città. 

Possibilità di sconti con tessera ACSI

Segnalato da: ACSI, ADAC Cam ping Caravaning Führer, DCC.
";campeggio;31;81;40
91;CAMPING LAGORAI;False;"Auto: 
Autostrada A22 del Brennero, uscita Trento Centro (km 52 dal casello). 
S.S. 47 della Valsugana, uscita Strigno; S.P. 78 del Tesino. 

Viaggio con trasporti pubblici: 
Stazione FS di Trento (linea Monaco-Roma). 
Stazione FS di Strigno (linea della Valsugana, Trento-Venezia). 
Collegamento pullman Società Atesina: da Trento e da Strigno. 

Aereo: 
Gli aeroporti più vicini sono lo scalo Catullo di Verona, che dista circa 90 km, il Marco Polo di Venezia che dista 195 km, il Milano Linate a 245 km e, inoltre, a 60 km c´è il nuovo aeroporto di Bolzano. 
";campeggio;32;82;41
92;CAMPEGGIO SPIAGGIA;False;"Auto: 
Autostrada A22 del Brennero, uscita Trento Centro (km 17 dal casello). 
S.S. 47 della Valsugana, uscita S. Cristoforo (provenienza da Trento) e uscita Caldonazzo (provenienza dal Veneto). 

Viaggio con trasporti pubblici: 
Stazione FS di Trento (linea Monaco-Roma). 
Stazione FS di Calceranica al Lago (linea della Valsugana, Trento-Venezia). 
Collegamento pullman Società Atesina: da Trento. 

Aereo: 
Aeroporti più vicini: 
Verona - Aeroporto Catullo 
Venezia - Aeroporto Marco Polo 
Milano - Aeroporto di Linate 
Bolzano - Aeroporto Bolzano Sud 
";campeggio;33;83;42
93;CAMPING PUNTA INDIANI;False;"Auto: 
Autostrada A22 del Brennero, uscita Trento Centro (km 13 dal casello). 
S.S. 47 della Valsugana, uscita Pergine Valsugana. 

Viaggio con trasporti pubblici: 
Stazione FS di Trento (linea Monaco-Roma). 
Stazione FS di Pergine Valsugana (linea della Valsugana, Trento-Venezia). 
Collegamento pullman Società Atesina: da Trento. 

Aereo: 
Aeroporti più vicini: 
Verona - Aeroporto Valerio Catullo 
Venezia - Aeroporto Marco Polo 
Milano - Aeroporto di Linate 
Bolzano - Aeroporto Bolzano Sud 
";campeggio;34;84;43
94;CASTELTESINO CAMPING;False;Piazzole camper con attacco acqua, luce, gpl, internet, tv satellitare, scarico acque grigie, chalet in legno con tv satellitare e internet, phon, cassaforte, barbecue, bar, ristorante, pizzeria, sala polifunzionale, sala giochi, minimarket, lavanderia e stireria, lavastoviglie industriale, internet point, centro fitness con palestra, piscina con idromassaggio, sauna e bagno turco aperta anche nel periodo invernale, camper stop, minipiazzole, campo bocce, campo beach volley, calcetto.;campeggio;35;85;44
95;PENISOLA VERDE;False;"Auto: 
Autostrada A22 del Brennero, uscita Trento Centro (km 17 dal casello). 
S.S. 47 della Valsugana, uscita S. Cristoforo (provenienza da Trento) e uscita Caldonazzo (provenienza dal Veneto). 

Viaggio con trasporti pubblici:  
Stazione FS di Trento (linea Monaco-Roma). 
Stazione FS di Calceranica al Lago (linea della Valsugana, Trento-Venezia). 
Collegamento pullman Società Atesina: da Trento. 

Aereo: 
Aeroporti più vicini: 
Verona - Aeroporto Catullo 
Venezia - Aeroporto Marco Polo 
Milano - Aeroporto di Linate 
Bolzano - Aeroporto Bolzano Sud 
";campeggio;36;86;45
96;CAMPING MARIO;False;campeggi caldonazzo,campeggi trentino, case mobili trentino, case mobili caldonazzo, lago caldonazzo;campeggio;37;87;46
97;CAMPING VALMALENE;False;"Per le prenotazioni di piazzola vengono applicate le seguenti condizioni di cancellazione:
Disdetta entro 10 giorni prima dell'arrivo: nessuna penale
Disdetta successiva a tale termine o no show: pagamento dell'importo della piazzola per il totale del soggiorno (esclusi importi degli occupanti)";campeggio;38;88;47
98;CAMPING PUNTA LAGO;False;"Il camping Punta Lago, in riva al Lago di Caldonazzo, gode di una posizione estremamente favorevole, sia per chi vuole godere della bellissima spiaggia, adatta soprattutto ai bambini ed ai nuotatori poco esperti, sia che per chi vuole provare uno degli innumerevoli sport acquatici che il lago consente di praticare.

Ma da qui potrete anche organizzare un’infinità di escursioni, praticare ciclo e moto turismo, ed approfittare delle moltissime opportunità che la Valsugana offre ai propri ospiti.

Con servizi igienici completamente rinnovati, nuove case mobili, internet point, e molti altri servizi, ma soprattutto con una gestione impostata a garantire un servizio di qualità e di cortesia, la Famiglia Graziadei vi attende per una vacanza all’altezza delle vostre aspettative.";campeggio;39;89;48
99;CAMPEGGIO SAN CRISTOFORO;False;"Auto: 
Autostrada A22 del Brennero, uscita Trento Centro (km 13 dal casello). 
S.S. 47 della Valsugana, uscita Pergine Valsugana. 

Viaggio con trasporti pubblici: 
Stazione FS di Trento (linea Monaco-Roma). 
Stazione FS di Pergine Valsugana (linea della Valsugana, Trento-Venezia). 
Collegamento pullman Società Atesina: da Trento. 

Aereo: 
Aeroporti più vicini: 
Verona - Aeroporto Valerio Catullo 
Venezia - Aeroporto Marco Polo 
Milano - Aeroporto di Linate 
Bolzano - Aeroporto Bolzano Sud 
";campeggio;40;90;49
100;CAMPING LAGO DI LEVICO;False;visit camping Trentino Valsugana Levico Caldonazzo;campeggio;41;91;50
101;CAMPEGGIO ALICE;False;"Nel Trentino orientale, ai confini con i monti bellunesi, un´alpe sovrastante il paese di Castello Tesino si distende, quasi fosse un mare mosso,un verde riposante, nelle sue diverse sfumature. Colline, avvallamenti, ciuffi di alberi: stradine strette collegano masi sparsi per lo più, un tempo, a servizio di una stentata agricoltura d´alpeggio, oggi in continuo declino. Certo, in inverno il verde cambia colore e si trasforma nel sinuoso susseguirsi di una coperta bianca, punteggiata dal contrasto di pochi tetti e squarciata qua e là dal verde intenso delle abetaie. Che si arrivi dalla parte trentina o da quella bellunese, di fronte a noi si estende un paesaggio idilliaco ci impressiona e ci invita a goderne le sinuose fattezze...

Parco Camper e roulotte, possibilità di bagno privato, barbecue, bar, ristorante, pizzeria, pub, birreria, supermercato, lavanderia e stireria a gettoni, parco giochi per bambini, bocce, solarium, sala intrattenimenti e divertimenti, accesso ai diversamente abili, carte di credito. 

Convenzionata con Touring Club e Plein Air.

Prezzi a forfait a camper tutto compreso!

Su richiesta piazzole con bagno privato.

 ";campeggio;42;92;51
