COM:Id;COM:Name;COM:OpeningHours;COM:Price;COM:Telephone;COM:Url;LOC:Id;ADD:Id
40; ;;-1.0;(0039) 0461 706290;http://www.campingclub.it;;
41; Camping Lago di Levico & Jolly;;-1.0;+39(0039)706491;http://www.campinglevico.com;;
42; ;;-1.0;(0039) 0461 594018;http://www.campeggioalice.it;;
43; Camping Belvedere;;-1.0;(0039) 0461 723239;http://www.campingbelvedere.it;;
44; ;;-1.0;(0039) 0461 766129;http://;;
45; Campeggi Tomasi;;-1.0;(0039) 0461 723153;http://www.campingfleiola.it;;
46; Camping 2 Laghi;;-1.0;(0039) 0461 706290;http://www.campingclub.it;;
47; Camping Al Pescatore;;-1.0;(0039) 0461 723062;http://www.campingpescatore.it;;
48; ZISCHGALM;;-1.0;+39 (0462)813600;http://www.zischgalm.it;;
49; BAITA CIAMP DELE STRIE;;-1.0;+39 (339)8685080;http://www.ciampdelestrie.it;;
50; RIFUGIO MALGA MONTE CORNO;;-1.0;+39 (338)1022342;http://;;
51; MALGA MONTE CORNO;;-1.0;+39 (338)1022342;http://;;
52; MALGA BOCCHE;;-1.0;+39 (340)5923104;http://;;
53; BAITA DOSS DEI LARESI;;-1.0;+39 (0462)235411;http://;;
54; BAITA SEGANTINI;;-1.0;+39 (0439)68251;http://;;
55; RIFUGIO BAITA LA MOREA;;-1.0;+39 (348)5800209;http://;;
56; BAITA MONTE CAURIOL;;-1.0;+39 (337)230202;http://www.baitamontecauriol.it;;
57; CAPANNA PASSO VALLES;;-1.0;+39 (0437)599136;http://www.passovalles.com;;
58; MALGA VARENA;;-1.0;+39 (335)5813973;http://;;
59; RISTORANTE BAITA EL ZIRMO;;-1.0;+39 (0462)576300;http://www.elzirmo.it;;
60; MALGA ORA;;-1.0;+39 (339)8889293;http://;;
61; BAITA PASSO FEUDO;;-1.0;;http://;;
62; RIFUGIO PAION;;-1.0;+39 (0039)341616;http://www.baitaparadiso.it/rifugiopaion/;;
63; MALGA SADOLE;;-1.0;+39 (0462)813720;http://;;
64; MALGA CISLON;;-1.0;+39 (347)2291105;http://;;
65; CHALET LA BAITA;;-1.0;+39 (0439)68315;http://;;
66; BAITA ISI;;-1.0;+39 (348)8108694;http://;;
67; MALGA GURNDIN;;-1.0;+39 (330)765083;http://;;
68; MALGA DAIANO;;-1.0;+39 (348)7120227;http://;;
69; MALGA LA MENS;;-1.0;+39 (333)6234245;http://;;
70; CAPANNA CERVINO;;-1.0;+39 (0439)769095;http://www.capannacervino.it;;
71; MALGA VENEGIOTA;;-1.0;+39 (0462)576044;http://;;
72; EPIRCHER LANER;;-1.0;+39 (335)5986253;http://;;
73; RIFUGIO PASSO MANGHEN;;-1.0;+39 (347)8564172;http://;;
74; BAITA GARDONé;;-1.0;+39 (0462)503110;http://www.baitagardone.com;;
75; BAITA CASERINA;;-1.0;+39 (320)9485875;http://www.cenainbaita.net;;
76; MALGA ARODOLO;;-1.0;+39 (0462)342267;http://;;
77; MALGA VENEGIA;;-1.0;+39 (348)0627886;http://;;
78; BAR RISTORANTE BUCANEVE;;-1.0;+39 (0462)576088;http://;;
79; BAITA PASSO LUSIA;;-1.0;+39 (0039)573101;http://www.rifugiolusia.it;;
80; MALGA SASS;;-1.0;+39 (345)1116762;http://www.malgasass.com;;
81; BAR RISTORANTE MONTE AGNELLO;;-1.0;+39 (0462)815030 ;http://;;
82; WAIGLER SCHUPF;;-1.0;+39 (348)7031412;http://;;
83; GANISCHGER ALM;;-1.0;+39 (0462)814600 ;http://www.ganischgeralm.it;;
84; MALGA JURIBELLO;;-1.0;+39 (348)8925841;http://;;
85; RIFUGIO TORRE DI PISA;;-1.0;;http://www.rifugiotorredipisa.it;;
86; RIFUGIO LAGHI DI COLBRICON;;-1.0;+39 (348)7952430;http://;;
87; MALGHETTE;;-1.0;+39 (0471)882104;http://;;
88; MALGA COSTA;;-1.0;+39 (340)3387269;http://;;
89; RIFUGIO LATEMAR;;-1.0;+39 (0462)813600;http://www.zischgalm.it;;
90; MALGA VALMAGGIORE;;-1.0;+39 (347)7730839;http://;;
91; MALGA VALAZZA ;;-1.0;+39 (0439)62674;http://;;
92; MALGA ROLLE;;-1.0;+39 (348)0363019;http://;;
93; CASTELIR SERVICE;;-1.0;+39 (0462)576262;http://;;
94; VARESCO MARIO;;-1.0;+39 (0462)576063;http://;;
95; UFFICIO SKIPASS - LATEMAR 2200;;-1.0;+39 (0462)502929;http://www.latemar.it;;
96; NOLEGGIO SCI DI FONDO E PATTINI CENTRO DEL FONDO;;-1.0;+39 (0462)814064;http://www.latemar.it;;
97; VARESCO SPORT C/O PARTENZA IMPIANTI;;-1.0;+39 (0462)576262;http://;;
98; SPORT VENTURA-NOLEGGIO SCI- PAMPEAGO;;-1.0;+39 (0462)813033;http://www.sportventura.it;;
99; UFFICIO SKIPASS;;-1.0;+39 (0462)576234;http://;;
100; UFFICIO SKIPASS - PAMPEAGO;;-1.0;+39 (0462)813265;http://www.latemar.it;;
101; PLUSSERVICE;;-1.0;+39 (331)9341385;http://www.plusservicevlf.it;;
102; NOLEGGIO SCI-SPORT VENTURA -PIERA;;-1.0;+39 (0462)813025;http://www.sportventura.it;;
103; CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO;;-1.0;+39 (0462)576283;http://www.parcopan.org;;
104; UFFICIO SKIPASS;;-1.0;+39 (0462)340490;http://www.dolomitisuperski.it;;
105; LOCAL MOTION 2;;-1.0;+39 (345)9392605;http://www.plusservicevlf.it;;
106; MATTIOLI MAURO;;-1.0;+39 (347)3234159;http://;;
107; LANTERNA NOLEGGIO SCI;;-1.0;+39 (0462)501056;http://;;
108; CENTRO DEL FONDO - SEDE CAMPIONATI DEL MONDO;;-1.0;+39 (0462)814064;http://www.latemar.it;;
109; PANET RENTA SPORT;;-1.0;+39 (0462)500114;http://;;
110; NOLEGGIO SCI NONES SPORT;;-1.0;+39 (0462)230330;http://www.nonessport.it;;
111; STADIO DEL SALTO;;-1.0;+39 (0462)508200;http://;;
112;;;-1.0;;http://it.wikipedia.org/wiki/Gruppo_del_Catinaccio|www.wikipedia.irg;;
113;;;-1.0;;http://www.fassa.com/IT/Area-sci-pozza-di-fassa-buffaure|www.fassa.com;;
114;;;-1.0;;http://www.fassa.com/IT/Area-sci-Canazei-Belvedere|www.fassa.com;;
120;;;-1.0;;http://www.frontedeiricordi.it|Sul fronte dei ricordi;;
122;;;-1.0;;http://www.4land.it|4Land Cartography;;
124;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/forca-rossa|www.visittrentino.it/;;
125;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/rifugio-valacia|www.visittrentino.it/;;
126;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/monte-pecol-giro-del-lagusel|www.visittrentino.it;;
127;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/san-pellegrino-fuchiade|http://www.visittrentino.it;;
128;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/3755587671350408470|www.visittrentino.it;;
129;;;-1.0;;http://it.wikipedia.org/wiki/Passo_Pordoi|www.wikipedia.org;;
130;;;-1.0;;http://it.wikipedia.org/wiki/Sella_Ronda|ww.wikipedia.org;;
132;;;-1.0;;http://www.fassa.com/IT/Campestrin-Fontanazzo/?idCat=216|www.fassa.com;;
133;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=16111&s=1218&idCat=216|www.fassa.com;;
134;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=16096&s=1218&idCat=216|www.fassa.com;;
135;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=177962&s=1218&idCat=216|www.fassa.com;;
136;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=16101&s=1218&idCat=216|www.fassa.com;;
137;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=16098&s=1218&idCat=216|www.fassa.com;;
138;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/rampilonga|www.visittrentino.it;;
139;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/moena-1|www.visittrentino.it;;
140;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/giro-di-malga-inferno-e-val-moena|www.visittrentino.it;;
141;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/itinerari/dettagli/dett/ambasciatori-alla-corte-di-re-laurino|www.visittrentino.it;;
142;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/itinerari/dettagli/dett/toccare-il-cielo-con-un-dito|www.visittrentino.it;;
143;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=16133&s=1220&idCat=218|www.fassa.com;;
144;;;-1.0;;http://www.fassa.com/cms-01.00/articolo.asp?IDcms=14985&s=1219&idCat=217|www.fassa.com;;
146;;;-1.0;;http://it.wikipedia.org/wiki/Gruppo_del_Sella|www.wikipedia.org;;
147;;;-1.0;;http://www.fassa.com/IT/Area-sci-Campitello-di-Fassa-Col-Rodella/|www.fassa.com/;;
148;;;-1.0;;http://www.fassa.com/IT/Area-sci-Carezza/|www.fassa.com;;
149;;;-1.0;;http://www.fassa.com/IT/Area-sci-Vigo-di-Fassa-Catinaccio/|www.fassa.com;;
150;;;-1.0;;http://www.fassa.com/IT/Area-sci-Alba-di-Canazei-Ciampac/|www.fassa.com;;
151;;;-1.0;;http://www.fassa.com/IT/Area-sci-Passo-Fedaia-Marmolada/|www.fassa.com;;
152;;;-1.0;;http://www.fassa.com/IT/Area-sci-Falcade-Passo-San-Pellegrino/|www.fassa.com;;
153;;;-1.0;;http://www.fassa.com/IT/EasySnowpark/|www.fassa.com;;
154;;;-1.0;;http://www.fassa.com/IT/ColRodellaSnowpark/|www.fassa.com;;
155;;;-1.0;;http://www.fassa.com/IT/LusiaBoardercross/|www.fassa.com;;
156;;;-1.0;;http://www.fassa.com/IT/Ston8Snowpark/|www.fassa.com;;
157;;;-1.0;;http://www.fassa.com/IT/Area-sci-fondo-Alba-di-Canazei-Ciampac/|/www.fassa.com;;
158;;;-1.0;;http://www.fassa.com/IT/Area-sci-fondo-Mazzin-Campitello-di-Fassa/|www.fassa.com;;
159;;;-1.0;;http://www.fassa.com/IT/Centro-sci-fondo-Canazei/|www.fassa.com;;
160;;;-1.0;;http://www.fassa.com/IT/Centro-sci-fondo-Moena-Passo-San-Pellegrino-Alochet/|www.fassa.com;;
161;;;-1.0;;http://www.fassa.com/IT/Centro-sci-fondo-Pozza-di-Fassa-Ciancoal/|www.fassa.com;;
163;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/cima-undici|www.visittrentino.it;;
164;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/cima-undici-sass-da-le-undesc|www.visittrentino.it;;
165;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/cima-bocche-dalla-val-san-pellegrino-nord|www.visittrentino.it;;
166;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/via-ferrata-col-ombert-monzoni|www.visittrentino.it;;
167;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/ferrata-i-magnifici-quattro|www.visittrentino.it;;
168;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/catinaccio-via-attrezzata-masare-roda-de-vael|www.visittrentino.it;;
169;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/catinaccio-via-attrezzata-passo-santner|www.visittrentino.it;;
170;;;-1.0;;http://www.fassa.com/it/Le-Dolomiti/|www.fassa.com;;
171;;;-1.0;;http://it.wikipedia.org/wiki/Sassolungo|www.wikipedia.org;;
172;;;-1.0;;http://www.visitpinecembra.it/it/Principale/Il_Territorio/Piramidi_di_Terra_di_Segonzano/Piramidi_di_Terra_di_Segonzano.aspx|www.visitpinecembra.it;;
173;;;-1.0;0461 698351;;;
176;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/da_vedere/risultati?st=Natura&stt=Cascate&daVedereType=daVedere.categoria.1&daVedereSubType=daVedere.natura.categorieRicerca.4|VisitTrentino;;
177;;;-1.0;;https://it.wikipedia.org/wiki/Canale_di_Tenno|Wiki.. Canale di Tenno;;
178;;;-1.0;;http://www.ponale.eu/;;
179;;;-1.0;;http://www.vieferrate.it/pag-relazioni/lombardia/51-monti-del-garda/192-amicizia-sat.html;;
183;;;-1.0;;https://it.wikipedia.org/wiki/Lago_di_Ledro|Wiki.. Lago di Ledro;;
185;;;-1.0;;http://www.comune.arco.tn.it/Territorio/Luoghi-e-punti-di-interesse/Cosa-puoi-visitare/Parchi/L-Arboreto-o-Parco-Arciducale|Info dal portale del Comune di Arco;;
186;;;-1.0;;http://www.comune.arco.tn.it/Territorio/Luoghi-e-punti-di-interesse/Cosa-puoi-visitare/Itinerari-e-Passeggiate/Da-Arco-a-Romarzollo|dal portale del Comune di Arco;;
188;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Nordic+Walking&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.4|VisitTrentino;;
190;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Rafting&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.9|VisitTrentino;;
191;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/alpine-coaster-gardone;;
192;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/areopark;;
198;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/acropark-centa-san-nicolo;;
199;;;-1.0;;http://www.visittrentino.it;;
200;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/forest-park|VisitTrentino;;
201;;;-1.0;;http://www.paganellafunpark.it/|Paganella Fun Park;;
202;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/sull-altopiano-della-paganella-andalo-pradel-lago-di-molveno-andalo-paganella-bike|VisitTrentino;;
203;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/scuola-italiana-sci-bike|VisitTrentino;;
204;;;-1.0;;http://www.scuolascifai.it|Scuola Sci Fai della Paganella;;
205;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palestra-artificiale-andalo|VisitTrentino;;
206;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palestra-artificiale-molveno|VisitTrentino;;
207;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palestra-di-arrampicata-spormaggiore|VisitTrentino;;
208;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palestra-di-arrampicata-fai|VisitTrentino;;
209;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palestra-di-roccia-sant-antonio|VisitTrentino;;
210;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/ciclismo-itinerario-andalo-paganella;;
211;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/canoa-lago-molveno|VisitTrentino;;
212;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/bike-park-paganella|VisitTrentino;;
213;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/antica-segheria-veneziana-taialacqua|VisitTrentino;;
214;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/lago-di-andalo|VisitTrentino;;
215;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/lago-di-molveno|VisitTrentino;;
216;;;-1.0;;http://www.volabass.it/|Club Vola Bass Molveno;;
217;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/piz-galin|VisitTrentino;;
218;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/windsurf-e-vela-a-molveno|VisitTrentino;;
219;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/paganella|VisitTrentino;;
220;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/monte-gazza-lago-di-molveno|VisitTrentino;;
222;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/cima-canfedin|VisitTrentino;;
223;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/alpinguide-com;;
227;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/parco-avventura-val-di-genova;;
228;;;-1.0;;http://alpregio.outdooractive.com/ar-val-di-non/it/alpregio.jsp#i=10297529&tab=TourTab|www.visitvaldinon.it;;
229;;;-1.0;;http://www.dolomitidibrentain.it/|www.dolomitidibrentain.it;;
230;;;-1.0;0464/720288;;;
231;;;-1.0;"Segreteria 0464/721926; Costa 0464/720288; Fondo Grande 0464/721805; Serrada 347/0702904";;;
232;;;-1.0;;http://www.trentinograndeguerra.it/;;
233;;;-1.0;;https://it.wikipedia.org/wiki/Piana_di_Vezzena;;
234;;;-1.0;0461 605430;;;
235;;;-1.0;+39 (347) 5044450;http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Scuole+di+Sci&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.32|VisitTrentino;;
236; SPORT VENTURA;;-1.0;+39 (0462)813025;http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Noleggi+attrezzature+sportive&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.45|VisitTrentino;;
237; BIKE 4 FUN;;-1.0;+39 (0462)501250;http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Noleggi+attrezzature+sportive&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.45|VisitTrentino;;
238;;;-1.0;;http://www.fassa.com/IT/DolomitiSnowpark/|www.fassa.com;;
239;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/san-nicolo|www.visittrentino.it;;
240;;;-1.0;;http://www.pnab.it/|Parco Naturale Adamello Brenta ;;
241;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/vattaro-e-terra-rossa;;
242;;;-1.0;0461 653622;http://www.parcofaunistico.tn.it/sito/index.php|www.parcofaunistico.tn.it;;
243;;;-1.0;;http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/paganella-bike|VisitTrentino;;
